Node	PosX	PosY
ENSG00000170100	-468.744245222	1625.51212221
ENSG00000118922	885.612994398	1097.52776997
ENSG00000214652	298.377199699	-1673.65008783
SALL3_01	918.12721592	-1369.77247299
ZNF510_01	-728.072546422	-1366.27084456
ENSG00000198205	-1343.2129103	-1063.36521741
MEIS1BHOXA9PBX1A_01	-817.595795172	-1330.06950424
LEF1_05	-1395.25247936	589.236611056
NR2C2_01	609.351897928	1508.36060284
ENSG00000186790	1168.09062855	-1253.52093842
SRF_02	-1513.61653616	511.431253835
MAF_Q6	-732.588851541	-1321.83975669
ZNF81_03	-22.4068007502	1393.04160052
ENSG00000186660	-1576.37239316	644.496074418
ZNF425_04	-173.410447792	1541.42839826
ENSG00000256087	-616.046291098	1232.0330585
ENSG00000120693	1604.16247035	-172.887631376
RUNX2_01	359.585717005	1356.10606293
ZNF410_01	-1263.44247556	-198.745489542
ENSG00000264668	-932.343021685	793.594688386
ENSG00000116035	-622.529856321	1526.31148357
BACH1_01	127.824444729	1507.51382991
ENSG00000088881	505.377826716	-1466.24297915
ENSG00000135638	-204.470967577	-1648.72484862
ENSG00000165684	1120.78064062	818.587015051
ENSG00000177732	594.032054017	-1332.27971802
ENSG00000163064	62.385012279	-1311.59083527
RFX3ETV7_01	635.44817859	589.583575135
ENSG00000142556	1308.31309283	269.31912629
ENSG00000127152	-1527.26779837	333.431892702
ZNF358_02	413.815005993	-1205.68511948
ENSG00000151623	994.018193209	826.613715705
ENSG00000205903	-1087.40854375	795.18093075
ENSG00000185960	1403.1466866	-708.438116025
ZNF729_06	-288.824927994	-1381.68096663
ENSG00000135374	259.258039186	1384.71028367
ENSG00000088038	1559.44591146	-239.238932995
TEF_01	-697.94132641	-1521.65939492
ZNF226_01	-954.731929517	-1207.52493199
ENSG00000170689	1098.9551731	-1094.22791606
ZNF479_03	85.5400905007	1347.90524456
ZNF630_01	237.093278912	-1419.79291554
ENSG00000197037	-1711.66588522	-187.494522987
FOXP2_01	1313.2783552	-461.175708985
ENSG00000113658	-1431.84511659	-929.140658422
HOXA10_03	684.676638843	-1465.32654767
ENSG00000179388	-1319.11306984	499.801473971
ENSG00000137273	-772.079713721	608.598692955
PRDM1_02	291.581149136	-1644.91065684
ZNF431_02	1501.92558018	-346.441475143
ENSG00000251247	-16.7119500245	1640.79960626
ENSG00000106546	-598.721242464	-588.688196653
ENSG00000204611	888.721108144	-1209.56263565
TBX22_02	-1355.16521665	839.84584433
ERR2_Q3	-1476.48384791	155.500605786
ENSG00000100823	1249.11136117	669.192495969
ENSG00000181315	-104.695273601	569.020477538
ENSG00000278500	-507.206925395	1328.25532093
ENSG00000277462	684.667879569	-330.775055336
ENSG00000160973	-714.795645452	441.720015038
RARG_Q3	-1505.89642259	604.200499557
ZNF135_03	1426.77324199	19.2085697457
PRDM1_05	260.097567743	-1651.96478611
ENSG00000198455	1140.44123963	1255.458707
ENSG00000164011	-946.92506441	927.296479575
FOXD3_01	-1076.78075246	-827.365501056
ENSG00000136944	-239.559169808	-1498.68161404
GLI_Q6	-804.938752194	940.57833092
ENSG00000189042	-865.298318438	133.067233109
SIX4_Q3	338.960596887	1349.77139286
ENSG00000174332	1399.73736198	934.276895867
CEBPE_Q6_01	1265.82781557	860.485151217
SRF_Q4	-1284.96541527	338.764366772
ZNF708_02	1349.77137592	727.43057679
ENSG00000112182	889.581043456	462.805035724
ENSG00000198081	-461.029788746	1675.99412611
ENSG00000120075	-1447.87105816	835.009172131
ENSG00000147180	-1288.69913155	1148.34603786
ENSG00000129152	-1046.72126897	931.283173429
GRE_C	369.886257728	1410.78571059
POU4F2_01	-1078.10847791	-880.207962508
SOX1_09	51.8455901447	-1648.6810594
SOX15_06	-843.183358389	-1031.03872335
AR_01	1565.25689714	-551.964538205
DUXA_02	274.845060828	-1444.33594918
HOXB2PAX5_02	-626.435756753	806.517835913
ENSG00000197362	-1109.55583601	-350.574649023
ZNF491_01	-1460.35106445	365.924177749
TEF1_Q6_04	-965.523025545	-1161.7836819
ZNF585B_03	1176.87282853	85.6303333055
ZNF662_01	821.170571646	1199.05078873
EAR2_Q4	392.167103445	1557.50742153
ENSG00000177468	-1266.97378544	-996.25240299
PBX1_10	-1387.25261905	-469.006514524
ZNF729_01	648.540690287	-1231.43381785
E2F1_04	58.4467243039	1525.9296141
NR2C2_05	1089.89767761	903.576714408
LRH1_Q5_01	-1411.69897744	-858.825226393
CTCF_01	391.456935017	-1315.41040924
ENSG00000169297	979.011635655	-1128.59028481
ENSG00000128272	24.5084574417	1263.97535799
DAX1_01	824.638157215	-1205.68169141
NOR1_02	1286.39854058	-414.753987204
HOXA3EOMES_01	-1248.40791065	-337.455139891
BATF_04	-778.877205309	1267.14104291
ESRRA_05	-791.012102469	1535.1968574
ENSG00000176887	-118.76498791	-1350.96156645
RORA_06	-542.290878754	1312.52587403
ENSG00000144792	-10.8893978498	1388.79424539
HOXA13_03	-252.492556691	1522.70704606
EVI_Q6	217.132430604	1453.16088132
ENSG00000129173	893.776480709	-403.438048826
HNF4G_04	1269.73346146	950.808368815
E2F3FOXO6_01	-1331.37463118	-74.7776309946
ENSG00000255073	1115.88190283	1332.18870602
ENSG00000170561	281.072901662	1599.63133929
PAX4_05	515.53448214	-1487.59036731
ENSG00000183309	1034.48048083	980.332198923
POU5F1_06	-759.806237296	-529.497573328
MYCMAX_03	724.441442624	-882.445446775
ENSG00000170325	1252.46889185	180.492217899
NFY_Q3	532.190421241	-810.084938541
ENSG00000120656	-749.975548771	691.440170996
HZF12_02	416.910845962	1402.23453675
HNF4A_06	722.226211534	1353.16024373
FAC1_01	-1394.14516592	-11.2244557657
BTEB3_Q5	1288.9475088	-967.669096041
ENSG00000139515	-302.928219922	-738.81412125
CUX1_06	491.096496172	-833.235973668
NRSE_B	-417.251160098	-1533.0670561
CDC5_01	1456.07347942	312.870361415
DMRT7_01	-1331.82885767	444.225513537
ZNF312_01	-1048.82398451	1040.10985151
LRH1_Q6	-1522.74379958	-449.364961009
ENSG00000196757	1275.97745711	437.90231261
ENSG00000189420	-645.820347741	977.929954873
NR3C2_01	980.89427243	553.4848683
ZNF814_01	893.1168555	727.010104484
ZNF233_02	210.898554517	-1485.87200372
ZNF524_02	-762.003098162	-1357.06854443
ENSG00000171443	-988.587227298	-1212.43087424
ENSG00000123407	1442.53184162	-916.346275304
ENSG00000008197	-1160.05851248	392.791102807
ENSG00000172789	-737.099000168	-1367.49843857
ZNF525_01	615.827311196	-962.132263963
ENSG00000242779	235.89165783	427.266536534
ENSG00000249471	539.44997135	1140.2154986
TBX5_01	1382.41654478	420.203152344
ENSG00000101096	888.380264061	316.951617308
FOXO1ELK1_02	-1357.13080647	132.696477627
HEN1_02	-1142.00411569	821.23667743
ENSG00000140307	72.7414460778	-86.1364495901
RORA2_01	-832.712532093	1348.98888297
ENSG00000105497	689.565690912	-613.656361113
TEAD4DLX3_01	-359.392723966	-1279.08893266
DRRS_01	303.451036247	1336.33693025
GBX1_01	-1572.859254	-248.658338132
ZNF600_02	-1177.12383686	272.804440802
PITX3_Q3_01	1595.73087198	277.816765945
FOXO1HOXA10_01	153.59880611	-363.103481161
ZNF195_03	-1500.02202661	192.731711968
HOXC13_01	-71.2466896609	1266.81665094
HNF4A_03	612.820202941	1561.45597937
ENSG00000164048	-141.929700982	606.635243253
GCNF_01	-1226.79180429	913.954352052
PBX1_05	-531.000068223	-1222.5153637
GR_01	981.468180449	184.779573337
LHX2_03	-4.58534728923	-1402.19235725
ENSG00000129911	1334.91900997	-654.23737221
LHX6_06	-527.878083515	-703.019069879
ERFHOXA3_01	-532.591209856	-1252.76827695
ENSG00000160224	1359.27548415	-333.823781402
ENSG00000105996	-1407.20328313	-631.651374506
SP4_Q3	-673.173900145	-1092.42554906
SPIC_03	-1561.01807419	-263.803847935
ENSG00000136870	842.496771826	-863.339615403
ZNF280B_01	1442.50908274	-454.207789395
ENSG00000170166	-485.745821066	1336.55227673
ENSG00000166860	848.408173493	1423.10449702
ENSG00000043355	-233.923065727	1479.90657098
NKX21_01	1500.86886159	605.222619302
ENSG00000197343	-660.935224621	835.133467123
ZIC3_06	1552.03160172	142.560511819
ENSG00000166704	-755.960084612	-1545.33338034
SOX7_07	-771.437404068	-1431.23794301
ENSG00000164916	250.568950304	97.0777184959
ENSG00000127989	1403.63737554	258.599811168
ENSG00000164920	1552.56508311	-281.784333767
GCM2E2F8_01	1369.16666323	-511.315433373
ENSG00000172379	-511.506750297	-237.639725264
AR_08	1253.44400342	512.444833141
ELK1SREBF2_02	-1324.42457029	714.629536509
TBX15_01	814.022022279	1166.96838265
ENSG00000114315	-822.126020884	1275.14594582
CDPCR3_01	827.309055175	630.182825907
ZNF300_03	-1411.71367896	-521.280536448
ENSG00000158691	-1213.68602201	421.948414081
CUX1HOXB13_01	-762.76793827	924.334570344
HMEF2_Q6	-305.80508544	1523.06363963
ZNF17_02	-845.158394102	913.099800914
ENSG00000130699	1305.29078734	401.922748089
ZFP37_05	1313.08732891	263.364963165
PPARG_01	698.242948316	1032.6011118
ERR1_Q3	-1217.70219517	697.322687409
ZNF175_01	1309.72702381	-810.092804779
ZNF407_01	-1314.01577458	-686.055861858
ENSG00000095564	99.2194573229	-26.4463431118
ENSG00000242852	-329.500327269	527.048325281
ZNF700_03	1063.70979969	491.224566306
ZNF256_01	1108.86572524	662.739047917
ENSG00000152475	384.954221034	329.871153816
ENSG00000198028	748.081314907	346.082401063
BHLHE22_01	-1324.91977062	-335.687607748
ENSG00000146757	655.489861373	748.521205201
ENSG00000125812	-252.02098615	1693.99354865
ZNF181_01	621.038121478	-1330.21141071
ENSG00000234284	-136.18408201	-1057.57544124
ENSG00000134595	-1031.45460578	-1076.13135013
LEF1TCF1_Q4	-1457.26108856	-548.81891553
ENSG00000105708	576.760553109	49.4838381888
NR1B1RXRA_01	161.799785384	1390.39567619
MAFG_Q3	-817.217950033	-1500.38212998
ENSG00000170265	402.278870271	283.592560786
ENSG00000213096	591.356980199	553.754694218
ENSG00000105261	630.770804544	349.983361362
ENSG00000102878	1408.42501659	90.7720563729
ZNF552_01	1365.26591678	35.9655493619
ZNF567_02	-1251.55698291	-117.779816927
ZNF75_01	-718.841620391	1367.93934385
ZNF701_02	1190.84368666	1064.14268509
RFX5_01	-646.285102717	1425.42419243
AR_04	1546.14443915	-602.546362035
ENSG00000215372	1038.2292081	928.063395647
VDR_Q3	-934.662471541	1299.92473919
CUX1_07	-420.976597392	1326.04333864
ENSG00000197714	849.134503179	821.937554099
ENSG00000171634	-292.161603923	0.0265736753751
ZIM3_02	647.041674231	907.388739043
TEAD4ALX4_01	-632.581554256	-1200.81497959
POU5F1_08	-1268.7452596	303.232542071
ENSG00000177426	684.643336489	708.473155813
PEG3_04	-858.25122671	1073.57314965
ENSG00000235608	-1663.29824991	240.155658914
RBAK_03	1432.48733137	-793.902042647
ATF4CEBPD_01	-301.31550952	1290.8934889
HIC2_03	-1137.98456487	616.748026246
HOXB2EOMES_01	-1039.50161925	769.594724832
ENSG00000251369	470.31504357	1327.10875292
ENSG00000229544	-74.7224356417	-1139.57295431
ZNF711_02	-1198.43990173	1063.7747426
YY1_07	-1069.67038701	437.874342866
ENSG00000181220	589.522631236	-1116.4993558
ENSG00000105698	1090.00683922	359.516273316
NRF2_Q6	435.161982301	-1319.03993388
CUX1_05	419.750412528	1104.25054068
ENSG00000283515	1173.9125665	726.789420867
ENSG00000183770	1176.03121226	-970.032111153
BLIMP1_Q6_01	-90.6341379962	-1406.41303499
ZNF595_02	1175.76516373	1127.69701531
MAFK_06	-325.765141322	-1476.60124783
ENSG00000171956	-167.834690621	-1225.29527555
ZNF471_01	442.629952314	-1378.30562359
ENSG00000179111	-702.298038543	-1477.87626982
STAT5A_Q4	24.3689342465	-1474.38562304
DLX3_01	-839.475190655	-1215.99409009
ENSG00000204335	104.361044581	-1593.42629727
BETACATENIN_Q6	-150.484965641	-1563.82023264
ENSG00000121417	829.416669224	572.932024001
CLOCKNHLH1_01	-1144.37111008	242.48345554
ENSG00000184895	-792.750049861	-869.885032738
NR3C1_07	1005.56898823	-557.697627419
SNA_Q4	-1293.92285496	-788.918940211
ENSG00000204779	1009.0956491	-211.142966827
ZNF878_01	-450.399237554	1130.50772517
HNF4_01_B	-159.028994231	1612.55846015
TBX15_03	871.04435878	1278.46631272
ZNF169_02	1495.45210396	85.1726956306
HOXA10_01	331.765531113	-1459.13659873
HFH4_01	-1363.21728543	91.918521096
HNF1B_07	1536.31018854	-452.524733763
ENSG00000113916	663.643954339	707.316048324
ENSG00000171466	-65.9204004577	1054.03322871
HOXC10EOMES_01	-1310.22943003	338.932590511
ENSG00000180818	-1427.88706853	157.652722903
ZNF225_03	-238.575297641	-1312.67934359
E2F_03	22.4376034631	1460.29186426
ZNF28_03	1428.76332181	-108.492069851
ENSG00000167380	-651.240985148	-362.161049799
ENSG00000113196	-1410.31126873	984.142800652
ENSG00000186448	1052.43504057	518.337814603
ZNF135_01	1356.49480498	-616.15450874
ENSG00000176293	1232.76372243	-383.96202541
DLX5_01	1203.45825647	-467.619361314
ZNF470_02	104.797854345	-1457.06936872
ZNF620_01	-530.779679782	-1467.55526374
NR2F1_05	761.189698376	1343.24973602
HSF1_04	1087.10955277	153.087386875
HSF1_Q5	1170.3073791	1093.57432855
ZNF419_03	-1552.50276524	-304.903366894
ENSG00000089225	1295.35252076	662.821967854
PPARARXRA_01	-357.086073343	1198.43916702
